data,campanha,canal,impressoes,cliques,gasto,conversoes,receita
2026-07-15,Black Friday - Roupas,Meta Ads,1366,30,82.62,1,172.14
2026-08-04,Lançamento - Coleção Verão,Meta Ads,6406,143,499.98,5,794.91
2026-07-23,Promoção - Frete Grátis,Meta Ads,11432,382,632.87,17,1573.32
2026-06-05,Promoção - Frete Grátis,Meta Ads,9957,312,408.0,12,1165.24
2026-08-08,Institucional - Marca,Google Ads,11300,167,419.5,2,350.53
2026-06-13,Lançamento - Coleção Verão,Meta Ads,13787,276,562.29,13,1291.15
2026-06-28,Black Friday - Roupas,Meta Ads,5563,218,639.8,9,955.41
2026-06-18,Lançamento - Coleção Verão,Google Ads,11898,218,474.9,5,906.4
2026-08-17,Remarketing - Carrinho Abandonado,Meta Ads,3318,149,421.88,16,3979.98
2026-08-15,Promoção - Frete Grátis,Google Ads,1938,66,70.06,3,535.41
2026-07-26,Promoção - Frete Grátis,Meta Ads,9306,250,559.09,12,2025.77
2026-06-10,Promoção - Frete Grátis,Google Ads,1339,45,86.46,2,154.34
2026-06-03,Promoção - Frete Grátis,Meta Ads,765,21,44.44,0,0.0
2026-08-21,Remarketing - Carrinho Abandonado,Meta Ads,8645,305,837.26,25,7396.85
2026-08-20,Institucional - Marca,Google Ads,4836,42,83.54,0,0.0
2026-07-26,Black Friday - Roupas,Meta Ads,3809,86,110.81,3,637.34
2026-08-08,Black Friday - Roupas,Meta Ads,2236,62,126.7,3,706.41
2026-06-02,Black Friday - Roupas,Meta Ads,5906,234,688.58,11,1595.56
2026-06-12,Promoção - Frete Grátis,Meta Ads,10656,272,534.39,12,2151.38
2026-08-27,Lançamento - Coleção Verão,Google Ads,3403,89,157.41,3,614.69
2026-08-07,Remarketing - Carrinho Abandonado,Meta Ads,12077,524,804.6,76,17494.49
2026-07-23,Remarketing - Carrinho Abandonado,Meta Ads,4877,275,926.89,38,10246.36
2026-06-13,Black Friday - Roupas,Google Ads,829,18,28.69,0,0.0
2026-07-24,Remarketing - Carrinho Abandonado,Google Ads,13105,456,1303.75,2,527.97
2026-08-28,Remarketing - Carrinho Abandonado,Google Ads,11504,629,1538.8,92,16335.06
2026-06-04,Black Friday - Roupas,Meta Ads,3124,99,123.28,5,1208.42
2026-08-07,Black Friday - Roupas,Google Ads,7532,222,519.87,11,1444.89
2026-06-27,Lançamento - Coleção Verão,Meta Ads,11255,216,429.84,8,1550.06
2026-07-11,Lançamento - Coleção Verão,Google Ads,13557,224,585.37,6,922.61
2026-07-24,Black Friday - Roupas,Meta Ads,1048,26,28.36,1,202.45
2026-07-06,Promoção - Frete Grátis,Meta Ads,9984,332,691.76,13,1078.98
2026-08-22,Promoção - Frete Grátis,Google Ads,7250,167,177.21,6,1015.68
2026-06-20,Institucional - Marca,Meta Ads,10588,155,350.98,1,117.29
2026-06-11,Black Friday - Roupas,Google Ads,8393,220,256.84,14,3221.65
2026-07-29,Lançamento - Coleção Verão,Meta Ads,3240,84,,3,521.17
2026-08-06,Remarketing - Carrinho Abandonado,Google Ads,7902,413,794.45,38,9554.44
2026-08-04,Promoção - Frete Grátis,Meta Ads,7243,218,604.41,7,738.24
2026-07-07,Institucional - Marca,Meta Ads,11929,141,131.32,0,0.0
2026-08-21,Black Friday - Roupas,Meta Ads,12022,247,839.82,15,3278.74
2026-06-16,Remarketing - Carrinho Abandonado,Google Ads,3745,116,302.51,10,2340.71
2026-07-19,Lançamento - Coleção Verão,Google Ads,7820,150,338.06,7,933.05
2026-06-25,Institucional - Marca,Google Ads,12008,118,281.42,0,0.0
2026-07-05,Lançamento - Coleção Verão,Google Ads,12594,331,828.96,14,2711.19
2026-06-15,Remarketing - Carrinho Abandonado,Meta Ads,6020,325,326.86,35,7810.73
2026-06-27,Black Friday - Roupas,Google Ads,701,22,71.55,1,183.78
2026-07-14,Institucional - Marca,Meta Ads,1723,23,64.34,0,0.0
2026-08-10,Institucional - Marca,Meta Ads,12774,100,285.33,1,132.56
2026-08-20,Remarketing - Carrinho Abandonado,Meta Ads,13033,527,841.49,57,15434.36
2026-07-20,Promoção - Frete Grátis,Google Ads,10753,313,,9,1611.05
2026-07-06,Lançamento - Coleção Verão,Meta Ads,8912,163,499.06,3,286.23
2026-07-05,Promoção - Frete Grátis,Google Ads,8406,179,493.14,7,596.18
2026-06-09,Lançamento - Coleção Verão,Meta Ads,12229,317,922.88,9,1441.98
2026-06-11,Institucional - Marca,Google Ads,13751,123,123.04,0,0.0
2026-06-17,Remarketing - Carrinho Abandonado,Meta Ads,8329,314,397.93,41,9618.35
2026-08-28,Lançamento - Coleção Verão,Google Ads,2922,76,151.96,1,133.05
2026-07-27,Promoção - Frete Grátis,Google Ads,3497,119,384.48,6,908.04
2026-08-03,Institucional - Marca,Meta Ads,9898,86,114.79,0,0.0
2026-06-18,Remarketing - Carrinho Abandonado,Google Ads,14116,550,1372.47,62,12139.85
2026-07-13,Lançamento - Coleção Verão,Google Ads,6727,102,240.59,2,424.64
2026-07-16,Promoção - Frete Grátis,Meta Ads,13905,368,1014.63,20,3243.19
2026-07-25,Institucional - Marca,Meta Ads,5972,46,131.35,0,0.0
2026-08-03,Promoção - Frete Grátis,Google Ads,7929,258,474.12,10,1515.78
2026-08-02,Remarketing - Carrinho Abandonado,Meta Ads,2548,144,352.3,20,4498.53
2026-06-24,Promoção - Frete Grátis,Meta Ads,9040,210,414.86,11,930.37
2026-08-22,Promoção - Frete Grátis,Meta Ads,1633,48,128.01,1,149.97
2026-06-09,Black Friday - Roupas,Meta Ads,11631,347,540.56,23,3735.84
2026-07-01,Remarketing - Carrinho Abandonado,Meta Ads,13285,739,731.72,77,22943.91
2026-08-24,Promoção - Frete Grátis,Meta Ads,4221,99,287.98,4,695.55
2026-06-19,Black Friday - Roupas,Meta Ads,10770,425,1278.7,22,4989.04
2026-08-11,Lançamento - Coleção Verão,Google Ads,8289,199,586.09,5,773.66
2026-08-14,Lançamento - Coleção Verão,Meta Ads,9120,266,575.59,7,741.07
2026-07-17,Black Friday - Roupas,Google Ads,12972,393,1134.77,19,2506.9
2026-08-19,Promoção - Frete Grátis,Google Ads,10324,301,444.19,9,1499.57
2026-07-02,Promoção - Frete Grátis,Google Ads,10583,242,199.75,13,1309.47
2026-08-02,Black Friday - Roupas,Meta Ads,14920,553,584.13,32,3528.93
2026-07-23,Institucional - Marca,Meta Ads,3518,28,86.51,0,0.0
2026-06-11,Promoção - Frete Grátis,Meta Ads,5087,164,181.33,7,1251.99
2026-06-22,Remarketing - Carrinho Abandonado,Meta Ads,2112,109,147.24,10,1315.73
2026-08-03,Black Friday - Roupas,Meta Ads,11854,271,445.67,11,2129.59
2026-07-09,Black Friday - Roupas,Google Ads,7705,298,713.55,16,2904.68
2026-06-15,Remarketing - Carrinho Abandonado,Google Ads,8922,482,1046.07,55,7878.93
2026-08-24,Lançamento - Coleção Verão,Google Ads,11177,188,237.41,7,659.09
2026-06-20,Lançamento - Coleção Verão,Google Ads,793,21,69.19,0,0.0
2026-06-09,Institucional - Marca,Google Ads,3149,21,52.95,0,0.0
2026-06-06,Promoção - Frete Grátis,Meta Ads,7696,173,304.16,8,1055.41
2026-06-13,Remarketing - Carrinho Abandonado,Meta Ads,9614,478,613.13,60,17733.53
2026-06-16,Lançamento - Coleção Verão,Google Ads,12835,249,449.86,8,1041.5
2026-07-24,Promoção - Frete Grátis,Google Ads,13953,372,435.46,14,1518.31
2026-06-05,Black Friday - Roupas,Google Ads,1020,39,134.19,1,171.4
2026-06-14,Lançamento - Coleção Verão,Meta Ads,1543,38,91.76,1,172.14
2026-07-06,Promoção - Frete Grátis,Google Ads,14751,478,1517.45,15,2542.95
2026-06-22,Black Friday - Roupas,Google Ads,12666,275,890.3,15,3508.12
2026-08-28,Institucional - Marca,Meta Ads,13326,88,283.05,0,0.0
2026-06-05,Remarketing - Carrinho Abandonado,Google Ads,8930,466,938.62,65,12327.38
2026-08-07,Lançamento - Coleção Verão,Meta Ads,2987,51,56.55,1,157.7
2026-08-07,Promoção - Frete Grátis,Meta Ads,8487,214,500.54,10,1481.86
2026-06-21,Lançamento - Coleção Verão,Meta Ads,6142,156,437.54,4,450.17
2026-06-24,Institucional - Marca,Meta Ads,9848,139,224.79,1,147.58
2026-07-24,Lançamento - Coleção Verão,Meta Ads,4130,78,154.46,1,155.43
2026-08-15,Black Friday - Roupas,Meta Ads,882,19,19.45,1,130.0
2026-07-05,Lançamento - Coleção Verão,Meta Ads,11387,204,548.75,4,380.49
2026-07-30,Institucional - Marca,Google Ads,7582,109,315.49,1,120.32
2026-06-27,Institucional - Marca,Google Ads,7004,56,112.36,0,0.0
2026-08-28,Promoção - Frete Grátis,Meta Ads,10074,340,666.94,13,1322.75
2026-08-05,Remarketing - Carrinho Abandonado,Meta Ads,5648,275,376.82,39,7940.24
2026-07-27,Remarketing - Carrinho Abandonado,Google Ads,6621,289,375.39,36,8573.33
2026-07-15,Lançamento - Coleção Verão,Meta Ads,711,20,52.82,0,0.0
2026-07-21,Remarketing - Carrinho Abandonado,Google Ads,1579,59,175.22,0,0.0
2026-06-25,Lançamento - Coleção Verão,Google Ads,3196,79,224.03,3,548.13
2026-08-09,Promoção - Frete Grátis,Google Ads,1771,56,50.44,2,311.08
2026-06-08,Promoção - Frete Grátis,Meta Ads,12677,265,894.82,11,1457.79
2026-06-11,Promoção - Frete Grátis,Google Ads,3429,87,95.37,3,511.62
2026-08-17,Remarketing - Carrinho Abandonado,Google Ads,3880,137,401.89,17,4466.55
2026-06-15,Institucional - Marca,Google Ads,13791,203,589.66,1,95.67
2026-06-22,Lançamento - Coleção Verão,Meta Ads,2256,45,144.71,2,206.46
2026-06-20,Remarketing - Carrinho Abandonado,Google Ads,13494,508,607.25,49,11811.72
2026-08-09,Remarketing - Carrinho Abandonado,Meta Ads,8137,394,1275.36,35,6145.38
2026-06-11,Institucional - Marca,Meta Ads,11407,141,236.64,1,154.62
2026-06-05,Lançamento - Coleção Verão,Meta Ads,9711,167,572.54,8,1161.61
2026-06-01,Remarketing - Carrinho Abandonado,Meta Ads,1676,63,178.1,6,1639.4
2026-07-28,Promoção - Frete Grátis,Meta Ads,11170,274,877.51,11,1944.75
2026-06-13,Institucional - Marca,Google Ads,2163,20,43.66,0,0.0
2026-07-06,Remarketing - Carrinho Abandonado,Meta Ads,2016,103,288.25,8,1516.13
2026-07-01,Institucional - Marca,Google Ads,14439,148,275.36,0,0.0
2026-08-12,Promoção - Frete Grátis,Google Ads,764,21,16.99,0,0.0
2026-08-13,Remarketing - Carrinho Abandonado,Meta Ads,14570,588,1593.29,52,7845.88
2026-07-10,Institucional - Marca,Google Ads,12777,111,293.29,0,0.0
2026-08-15,Remarketing - Carrinho Abandonado,Google Ads,6684,281,584.16,36,5116.72
2026-08-18,Remarketing - Carrinho Abandonado,Meta Ads,6522,300,984.28,39,9936.27
2026-07-28,Remarketing - Carrinho Abandonado,Google Ads,6659,253,282.41,30,4173.04
2026-06-14,Lançamento - Coleção Verão,Google Ads,2250,43,52.27,1,172.61
2026-07-12,Remarketing - Carrinho Abandonado,Google Ads,865,48,142.67,0,0.0
2026-07-06,Institucional - Marca,Meta Ads,3604,41,118.29,0,0.0
2026-06-12,Black Friday - Roupas,Google Ads,13491,304,554.42,16,2743.74
2026-08-02,Lançamento - Coleção Verão,Google Ads,12240,267,727.43,11,2031.7
2026-06-02,Lançamento - Coleção Verão,Meta Ads,12412,203,600.27,6,1072.31
2026-06-20,Promoção - Frete Grátis,Google Ads,5005,159,315.49,8,1041.43
2026-06-14,Remarketing - Carrinho Abandonado,Meta Ads,10577,562,1486.69,48,10495.61
2026-08-09,Black Friday - Roupas,Google Ads,5799,157,225.66,8,1880.28
2026-08-08,Institucional - Marca,Meta Ads,719,6,17.06,0,0.0
2026-07-04,Institucional - Marca,Google Ads,5106,59,202.6,0,0.0
2026-06-15,Lançamento - Coleção Verão,Meta Ads,14916,237,555.3,6,963.53
2026-08-09,Promoção - Frete Grátis,Meta Ads,11630,275,915.77,12,995.05
2026-07-12,Black Friday - Roupas,Google Ads,13707,320,1047.07,16,3687.37
2026-06-19,Promoção - Frete Grátis,Google Ads,14322,411,1044.74,16,1672.62
2026-08-26,Lançamento - Coleção Verão,Meta Ads,5200,105,274.23,3,445.3
2026-06-20,Remarketing - Carrinho Abandonado,Meta Ads,2389,108,199.16,13,2653.12
2026-07-14,Lançamento - Coleção Verão,Google Ads,12853,379,698.61,11,1013.08
2026-07-18,Lançamento - Coleção Verão,Google Ads,12576,343,,7,1077.67
2026-06-25,Lançamento - Coleção Verão,Meta Ads,592,15,13.56,0,0.0
2026-06-30,Remarketing - Carrinho Abandonado,Meta Ads,12572,497,1695.43,44,11517.19
2026-08-23,Institucional - Marca,Meta Ads,9000,120,264.4,0,0.0
2026-07-28,Promoção - Frete Grátis,Google Ads,8303,222,487.04,9,1149.69
2026-06-11,Remarketing - Carrinho Abandonado,Google Ads,6233,205,220.02,30,8427.34
2026-06-17,Institucional - Marca,Google Ads,13167,184,344.69,1,110.79
2026-07-18,Remarketing - Carrinho Abandonado,Google Ads,2294,117,300.76,0,0.0
2026-06-28,Promoção - Frete Grátis,Google Ads,13109,456,790.18,16,1377.59
2026-06-13,Promoção - Frete Grátis,Meta Ads,11761,296,808.73,16,2732.29
2026-07-01,Black Friday - Roupas,Google Ads,4424,135,274.55,8,1314.72
2026-08-21,Promoção - Frete Grátis,Google Ads,13051,438,1276.52,17,1867.53
2026-08-11,Black Friday - Roupas,Meta Ads,3444,104,362.61,6,1221.54
2026-08-03,Lançamento - Coleção Verão,Google Ads,4867,102,121.87,3,309.44
2026-07-09,Promoção - Frete Grátis,Meta Ads,10955,358,784.99,15,1114.62
2026-08-19,Promoção - Frete Grátis,Meta Ads,9958,219,685.48,13,1620.49
2026-07-07,Black Friday - Roupas,Meta Ads,11421,393,1068.09,23,5483.77
2026-08-17,Black Friday - Roupas,Google Ads,4129,149,157.67,6,796.02
2026-07-27,Institucional - Marca,Google Ads,5026,48,76.97,0,0.0
2026-06-04,Promoção - Frete Grátis,Google Ads,5203,158,351.11,5,707.76
2026-07-03,Institucional - Marca,Google Ads,1346,15,39.99,0,0.0
2026-06-04,Black Friday - Roupas,Google Ads,8427,287,588.29,14,2509.71
2026-07-10,Promoção - Frete Grátis,Google Ads,1573,39,130.54,1,125.82
2026-07-19,Promoção - Frete Grátis,Meta Ads,9085,210,232.02,9,650.66
2026-07-15,Promoção - Frete Grátis,Google Ads,7957,181,622.34,9,1474.82
2026-07-26,Lançamento - Coleção Verão,Meta Ads,9847,278,548.85,8,1354.89
2026-07-26,Institucional - Marca,Meta Ads,10710,155,308.21,1,149.39
2026-06-12,Institucional - Marca,Meta Ads,12266,78,98.51,0,0.0
2026-06-24,Lançamento - Coleção Verão,Google Ads,7689,191,440.5,7,709.79
2026-06-14,Institucional - Marca,Meta Ads,803,11,16.63,0,0.0
2026-06-10,Remarketing - Carrinho Abandonado,Google Ads,7463,392,546.5,41,10619.71
2026-08-11,Institucional - Marca,Meta Ads,12266,150,514.76,1,199.33
2026-07-21,Black Friday - Roupas,Google Ads,2197,78,204.19,3,301.15
2026-07-16,Lançamento - Coleção Verão,Google Ads,3160,94,250.29,4,844.65
2026-06-20,Black Friday - Roupas,Meta Ads,13379,372,869.41,16,3067.8
2026-08-26,Black Friday - Roupas,Google Ads,12019,298,780.09,13,1967.6
2026-06-24,Remarketing - Carrinho Abandonado,Google Ads,6568,362,492.6,48,7083.86
2026-07-23,Black Friday - Roupas,Google Ads,5047,126,400.32,6,878.05
2026-06-01,Institucional - Marca,Google Ads,11563,91,296.29,0,0.0
2026-07-17,Remarketing - Carrinho Abandonado,Meta Ads,9781,449,1059.35,60,8230.86
2026-08-27,Promoção - Frete Grátis,Meta Ads,4125,108,327.63,6,1041.3
2026-07-03,Promoção - Frete Grátis,Google Ads,2552,64,201.55,3,246.94
2026-08-15,Promoção - Frete Grátis,Meta Ads,9239,309,457.94,15,1093.27
2026-06-01,Remarketing - Carrinho Abandonado,Google Ads,6082,326,1086.1,36,6812.53
2026-08-10,Promoção - Frete Grátis,Meta Ads,14531,467,990.84,27,4033.41
2026-06-21,Promoção - Frete Grátis,Google Ads,7765,198,619.39,9,1104.47
2026-08-15,Lançamento - Coleção Verão,Meta Ads,2589,47,133.08,1,209.29
2026-08-09,Institucional - Marca,Meta Ads,3506,34,28.89,0,0.0
2026-06-30,Black Friday - Roupas,Meta Ads,12010,379,897.97,16,3633.52
2026-07-03,Promoção - Frete Grátis,Meta Ads,4946,124,371.63,4,570.56
2026-07-08,Lançamento - Coleção Verão,Meta Ads,11057,329,512.33,9,1565.57
2026-06-23,Institucional - Marca,Google Ads,2783,36,69.6,0,0.0
2026-06-16,Promoção - Frete Grátis,Google Ads,994,32,64.07,1,129.26
2026-08-14,Institucional - Marca,Google Ads,3732,21,65.89,0,0.0
2026-07-23,Remarketing - Carrinho Abandonado,Google Ads,6579,208,309.86,1,222.38
2026-06-10,Lançamento - Coleção Verão,Google Ads,6410,155,229.75,6,569.02
2026-07-09,Remarketing - Carrinho Abandonado,Google Ads,14853,775,2142.52,72,9165.66
2026-06-29,Lançamento - Coleção Verão,Google Ads,6331,115,363.35,3,404.37
2026-07-02,Remarketing - Carrinho Abandonado,Meta Ads,1418,75,216.82,10,1948.63
2026-07-11,Black Friday - Roupas,Google Ads,14597,432,1042.55,28,4353.79
2026-08-25,Institucional - Marca,Meta Ads,11633,97,86.56,1,192.17
2026-07-04,Black Friday - Roupas,Meta Ads,4718,160,559.54,10,1978.24
2026-06-19,Lançamento - Coleção Verão,Meta Ads,5497,145,206.19,3,281.47
2026-06-13,Lançamento - Coleção Verão,Google Ads,11402,296,941.15,7,1348.8
2026-08-15,Institucional - Marca,Meta Ads,13569,141,281.32,1,127.33
2026-08-04,Black Friday - Roupas,Meta Ads,5124,160,219.34,7,1289.41
2026-08-28,Promoção - Frete Grátis,Google Ads,6705,219,750.36,7,874.87
2026-06-07,Remarketing - Carrinho Abandonado,Meta Ads,13740,478,450.49,39,11337.97
2026-06-23,Remarketing - Carrinho Abandonado,Meta Ads,13016,447,499.31,43,9145.7
2026-06-02,Remarketing - Carrinho Abandonado,Meta Ads,2808,131,412.0,11,2206.85
2026-06-18,Black Friday - Roupas,Meta Ads,1686,57,66.96,3,495.68
2026-07-31,Black Friday - Roupas,Meta Ads,10498,371,485.8,21,3655.23
2026-07-30,Black Friday - Roupas,Google Ads,9142,224,358.53,12,1887.29
2026-06-12,Remarketing - Carrinho Abandonado,Google Ads,14187,838,1884.98,103,24760.79
2026-08-25,Black Friday - Roupas,Meta Ads,1990,43,99.03,2,268.42
2026-08-09,Lançamento - Coleção Verão,Google Ads,14315,417,1294.6,12,2621.51
2026-06-02,Promoção - Frete Grátis,Google Ads,10646,337,1076.94,16,2528.84
2026-06-11,Lançamento - Coleção Verão,Google Ads,13379,363,1124.01,14,1594.11
2026-07-22,Promoção - Frete Grátis,Meta Ads,8988,204,256.43,7,1215.35
2026-07-13,Promoção - Frete Grátis,Meta Ads,8432,238,226.18,11,1297.95
2026-06-24,Lançamento - Coleção Verão,Meta Ads,2791,68,102.98,3,591.09
2026-07-09,Lançamento - Coleção Verão,Google Ads,11956,257,340.3,6,655.29
2026-06-24,Institucional - Marca,Google Ads,2863,24,67.77,0,0.0
2026-06-23,Promoção - Frete Grátis,Google Ads,1316,31,38.72,0,0.0
2026-08-21,Lançamento - Coleção Verão,Google Ads,13897,340,1150.65,12,2551.97
2026-07-17,Lançamento - Coleção Verão,Meta Ads,1274,36,89.3,1,198.87
2026-07-03,Remarketing - Carrinho Abandonado,Meta Ads,10629,385,1161.23,56,9204.51
2026-07-27,Institucional - Marca,Meta Ads,849,9,12.12,0,0.0
2026-08-20,Promoção - Frete Grátis,Google Ads,13135,365,1189.29,21,2544.15
2026-08-22,Black Friday - Roupas,Meta Ads,3548,106,146.08,7,1728.57
2026-08-08,Lançamento - Coleção Verão,Google Ads,10621,276,910.58,7,1435.07
2026-08-16,Lançamento - Coleção Verão,Meta Ads,2646,48,91.02,1,93.61
2026-06-12,Lançamento - Coleção Verão,Meta Ads,9716,208,495.15,7,1538.03
2026-06-07,Promoção - Frete Grátis,Meta Ads,1353,35,110.25,1,82.02
2026-08-15,Lançamento - Coleção Verão,Google Ads,4014,112,167.42,2,389.66
2026-08-10,Lançamento - Coleção Verão,Meta Ads,11204,314,879.48,15,2990.23
2026-06-29,Promoção - Frete Grátis,Meta Ads,7432,259,329.7,14,2379.74
2026-08-13,Institucional - Marca,Meta Ads,14721,79,227.46,0,0.0
2026-06-04,Lançamento - Coleção Verão,Google Ads,1059,29,54.43,1,148.55
2026-08-26,Promoção - Frete Grátis,Meta Ads,14507,488,1663.53,17,2015.19
2026-06-30,Institucional - Marca,Google Ads,11418,156,127.67,1,84.32
2026-06-11,Lançamento - Coleção Verão,Meta Ads,3741,70,237.61,2,275.82
2026-07-26,Lançamento - Coleção Verão,Google Ads,11824,224,324.34,5,994.95
2026-06-26,Black Friday - Roupas,Google Ads,8477,287,660.45,15,3696.17
2026-07-29,Remarketing - Carrinho Abandonado,Meta Ads,9524,544,779.17,52,7677.78
2026-07-09,Lançamento - Coleção Verão,Meta Ads,572,13,22.67,0,0.0
2026-07-11,Black Friday - Roupas,Meta Ads,11562,311,772.12,16,1889.99
2026-06-22,Remarketing - Carrinho Abandonado,Google Ads,6093,218,683.83,29,6614.21
2026-08-04,Remarketing - Carrinho Abandonado,Meta Ads,6984,250,807.5,26,3752.05
2026-06-06,Lançamento - Coleção Verão,Meta Ads,11875,188,447.97,7,1201.53
2026-07-30,Remarketing - Carrinho Abandonado,Meta Ads,8265,375,1195.41,32,8318.16
2026-08-13,Promoção - Frete Grátis,Google Ads,10542,289,491.6,16,2423.19
2026-06-17,Promoção - Frete Grátis,Google Ads,10897,259,614.82,11,1055.22
2026-06-30,Black Friday - Roupas,Google Ads,10796,347,436.95,20,2715.06
2026-07-26,Remarketing - Carrinho Abandonado,Meta Ads,5120,278,947.32,38,8859.87
2026-06-06,Institucional - Marca,Google Ads,8261,72,,0,0.0
2026-07-04,Promoção - Frete Grátis,Google Ads,14124,391,385.74,20,3465.9
2026-08-18,Black Friday - Roupas,Meta Ads,3121,67,168.97,2,330.98
2026-08-06,Promoção - Frete Grátis,Meta Ads,1328,45,49.89,1,152.74
2026-06-16,Black Friday - Roupas,Google Ads,3024,109,226.11,4,832.0
2026-06-24,Black Friday - Roupas,Meta Ads,5306,122,243.04,6,1091.57
2026-08-10,Black Friday - Roupas,Google Ads,12838,404,524.39,25,4614.05
2026-08-01,Promoção - Frete Grátis,Google Ads,9003,245,588.05,12,1768.65
2026-08-03,Institucional - Marca,Google Ads,14515,186,293.78,2,393.42
2026-08-17,Institucional - Marca,Meta Ads,14011,173,159.65,1,197.84
2026-06-19,Promoção - Frete Grátis,Meta Ads,12155,300,482.05,13,1976.48
2026-08-20,Lançamento - Coleção Verão,Google Ads,3340,77,77.46,1,190.37
2026-08-10,Remarketing - Carrinho Abandonado,Google Ads,2195,96,314.48,9,1497.41
2026-06-19,Remarketing - Carrinho Abandonado,Google Ads,13529,703,2217.64,78,17851.49
2026-06-05,Institucional - Marca,Google Ads,11401,150,140.96,0,0.0
2026-08-16,Institucional - Marca,Google Ads,10596,113,121.12,0,0.0
2026-06-15,Institucional - Marca,Meta Ads,10974,145,358.43,1,133.88
2026-07-24,Lançamento - Coleção Verão,Google Ads,6572,187,510.91,4,549.66
2026-08-11,Black Friday - Roupas,Google Ads,8469,278,708.99,16,1994.89
2026-07-02,Lançamento - Coleção Verão,Google Ads,8695,173,574.24,4,788.78
2026-07-03,Institucional - Marca,Meta Ads,11076,62,190.32,0,0.0
2026-07-15,Promoção - Frete Grátis,Meta Ads,4888,152,354.01,9,690.3
2026-07-10,Black Friday - Roupas,Google Ads,10600,287,355.61,19,3259.52
2026-07-23,Institucional - Marca,Google Ads,7983,75,224.24,1,103.77
2026-08-24,Institucional - Marca,Google Ads,13918,204,522.59,1,193.33
2026-06-16,Black Friday - Roupas,Meta Ads,5462,152,497.59,9,1210.74
2026-06-07,Lançamento - Coleção Verão,Google Ads,14836,309,,14,2758.06
2026-08-22,Black Friday - Roupas,Google Ads,8647,198,665.51,12,1473.94
2026-07-06,Black Friday - Roupas,Meta Ads,5351,173,516.6,9,1099.64
