Relatório de campanhas
leofelipesc@gmail.com
1 de jun. de 2026 - 28 de ago. de 2026

Dia,Campanha,Impr.,Cliques,CTR,CPC méd.,Custo,Conversões,Custo / conv.,Taxa de conv.
04/06/2026,Remarketing - Carrinho Abandonado,3.304,191,"5,78%","R$ 1,88","R$ 359,25",20,"R$ 17,96","10,47%"
04/06/2026,Lançamento - Coleção Verão,11.061,192,"1,74%","R$ 0,95","R$ 181,82",7,"R$ 25,97","3,65%"
04/06/2026,Promoção - Frete Grátis,6.789,201,"2,96%","R$ 3,39","R$ 680,40",8,"R$ 85,05","3,98%"
05/06/2026,Black Friday - Roupas,8.603,297,"3,45%","R$ 1,54","R$ 457,94",12,"R$ 38,16","4,04%"
05/06/2026,Institucional - Marca,4.444,26,"0,59%","R$ 1,58","R$ 41,19",0,-,"0,00%"
05/06/2026,Remarketing - Carrinho Abandonado,7.929,418,"5,27%","R$ 2,02","R$ 845,38",51,"R$ 16,58","12,20%"
05/06/2026,Lançamento - Coleção Verão,14.435,335,"2,32%","R$ 1,87","R$ 625,90",10,"R$ 62,59","2,99%"
05/06/2026,Promoção - Frete Grátis,12.649,403,"3,19%","R$ 3,05","R$ 1.228,83",20,"R$ 61,44","4,96%"
06/06/2026,Black Friday - Roupas,4.118,153,"3,72%","R$ 1,50","R$ 228,88",8,"R$ 28,61","5,23%"
06/06/2026,Institucional - Marca,741,9,"1,21%","R$ 1,70","R$ 15,32",0,-,"0,00%"
06/06/2026,Remarketing - Carrinho Abandonado,13.238,622,"4,70%","R$ 2,58","R$ 1.603,81",74,"R$ 21,67","11,90%"
06/06/2026,Lançamento - Coleção Verão,14.674,276,"1,88%","R$ 2,76","R$ 761,17",13,"R$ 58,55","4,71%"
06/06/2026,Promoção - Frete Grátis,1.287,34,"2,64%","R$ 1,05","R$ 35,59",1,"R$ 35,59","2,94%"
07/06/2026,Black Friday - Roupas,6.720,156,"2,32%","R$ 1,19","R$ 185,28",6,"R$ 30,88","3,85%"
07/06/2026,Institucional - Marca,9.901,111,"1,12%","R$ 1,53","R$ 169,51",1,"R$ 169,51","0,90%"
07/06/2026,Remarketing - Carrinho Abandonado,12.224,642,"5,25%","R$ 1,62","R$ 1.040,92",82,"R$ 12,69","12,77%"
07/06/2026,Lançamento - Coleção Verão,14.316,303,"2,12%","R$ 1,57","R$ 476,41",10,"R$ 47,64","3,30%"
07/06/2026,Promoção - Frete Grátis,13.546,306,"2,26%","R$ 3,34","R$ 1.023,42",16,"R$ 63,96","5,23%"
08/06/2026,Black Friday - Roupas,11.726,386,"3,29%","R$ 2,01","R$ 775,47",21,"R$ 36,93","5,44%"
08/06/2026,Institucional - Marca,12.847,105,"0,82%","R$ 3,26","R$ 342,54",0,-,"0,00%"
08/06/2026,Remarketing - Carrinho Abandonado,9.671,451,"4,66%","R$ 1,79","R$ 807,00",64,"R$ 12,61","14,19%"
08/06/2026,Lançamento - Coleção Verão,2.284,42,"1,84%","R$ 1,91","R$ 80,36",1,"R$ 80,36","2,38%"
08/06/2026,Promoção - Frete Grátis,13.636,469,"3,44%","R$ 2,41","R$ 1.129,26",27,"R$ 41,82","5,76%"
09/06/2026,Black Friday - Roupas,6.573,250,"3,80%","R$ 1,02","R$ 254,56",12,"R$ 21,21","4,80%"
09/06/2026,Institucional - Marca,3.039,30,"0,99%","R$ 1,17","R$ 35,06",0,-,"0,00%"
09/06/2026,Remarketing - Carrinho Abandonado,7.115,295,"4,15%","R$ 0,90","R$ 264,82",31,"R$ 8,54","10,51%"
09/06/2026,Lançamento - Coleção Verão,10.306,266,"2,58%","R$ 0,90","R$ 238,19",8,"R$ 29,77","3,01%"
09/06/2026,Promoção - Frete Grátis,978,30,"3,07%","R$ 2,65","R$ 79,54",1,"R$ 79,54","3,33%"
10/06/2026,Black Friday - Roupas,13.870,512,"3,69%","R$ 3,47","R$ 1.776,91",24,"R$ 74,04","4,69%"
10/06/2026,Institucional - Marca,551,3,"0,54%","R$ 3,44","R$ 10,33",0,-,"0,00%"
10/06/2026,Remarketing - Carrinho Abandonado,2.271,112,"4,93%","R$ 1,31","R$ 146,24",15,"R$ 9,75","13,39%"
10/06/2026,Lançamento - Coleção Verão,9.712,235,"2,42%","R$ 1,64","R$ 386,31",9,"R$ 42,92","3,83%"
10/06/2026,Promoção - Frete Grátis,7.272,172,"2,37%","R$ 0,91","R$ 156,61",9,"R$ 17,40","5,23%"
11/06/2026,Black Friday - Roupas,6.560,240,"3,66%","R$ 1,01","R$ 242,79",16,"R$ 15,17","6,67%"
11/06/2026,Institucional - Marca,6.483,47,"0,72%","R$ 2,66","R$ 125,25",0,-,"0,00%"
11/06/2026,Remarketing - Carrinho Abandonado,2.261,79,"3,49%","R$ 3,40","R$ 268,26",7,"R$ 38,32","8,86%"
11/06/2026,Lançamento - Coleção Verão,10.205,180,"1,76%","R$ 2,44","R$ 438,65",4,"R$ 109,66","2,22%"
11/06/2026,Promoção - Frete Grátis,5.449,129,"2,37%","R$ 2,83","R$ 365,08",7,"R$ 52,15","5,43%"
12/06/2026,Black Friday - Roupas,12.215,320,"2,62%","R$ 2,15","R$ 689,33",19,"R$ 36,28","5,94%"
12/06/2026,Institucional - Marca,8.874,50,"0,56%","R$ 2,35","R$ 117,58",0,-,"0,00%"
12/06/2026,Remarketing - Carrinho Abandonado,6.140,295,"4,80%","R$ 2,42","R$ 713,62",42,"R$ 16,99","14,24%"
12/06/2026,Lançamento - Coleção Verão,3.325,67,"2,02%","R$ 1,94","R$ 129,66",2,"R$ 64,83","2,99%"
12/06/2026,Promoção - Frete Grátis,14.556,339,"2,33%","R$ 2,94","R$ 997,29",12,"R$ 83,11","3,54%"
13/06/2026,Black Friday - Roupas,2.734,68,"2,49%","R$ 1,93","R$ 131,21",4,"R$ 32,80","5,88%"
13/06/2026,Institucional - Marca,6.522,73,"1,12%","R$ 1,82","R$ 133,20",1,"R$ 133,20","1,37%"
13/06/2026,Remarketing - Carrinho Abandonado,8.438,440,"5,21%","R$ 2,88","R$ 1.265,35",45,"R$ 28,12","10,23%"
13/06/2026,Lançamento - Coleção Verão,11.226,264,"2,35%","R$ 2,14","R$ 564,88",9,"R$ 62,76","3,41%"
13/06/2026,Promoção - Frete Grátis,4.273,89,"2,08%","R$ 1,92","R$ 171,00",3,"R$ 57,00","3,37%"
14/06/2026,Black Friday - Roupas,7.008,143,"2,04%","R$ 1,54","R$ 220,19",9,"R$ 24,47","6,29%"
14/06/2026,Institucional - Marca,7.656,110,"1,44%","R$ 2,85","R$ 313,39",1,"R$ 313,39","0,91%"
14/06/2026,Remarketing - Carrinho Abandonado,2.068,100,"4,84%","R$ 1,58","R$ 158,40",14,"R$ 11,31","14,00%"
14/06/2026,Lançamento - Coleção Verão,5.845,126,"2,16%","R$ 1,48","R$ 185,98",3,"R$ 61,99","2,38%"
14/06/2026,Promoção - Frete Grátis,7.523,258,"3,43%","R$ 1,09","R$ 281,29",9,"R$ 31,25","3,49%"
15/06/2026,Black Friday - Roupas,10.137,268,"2,64%","R$ 3,04","R$ 813,92",15,"R$ 54,26","5,60%"
15/06/2026,Institucional - Marca,9.649,95,"0,98%","R$ 3,30","R$ 313,56",0,-,"0,00%"
15/06/2026,Remarketing - Carrinho Abandonado,5.575,249,"4,47%","R$ 1,64","R$ 408,18",34,"R$ 12,01","13,65%"
15/06/2026,Lançamento - Coleção Verão,6.367,105,"1,65%","R$ 3,37","R$ 353,35",4,"R$ 88,34","3,81%"
15/06/2026,Promoção - Frete Grátis,2.799,90,"3,22%","R$ 3,48","R$ 313,46",4,"R$ 78,36","4,44%"
16/06/2026,Black Friday - Roupas,4.505,99,"2,20%","R$ 2,84","R$ 281,09",5,"R$ 56,22","5,05%"
16/06/2026,Institucional - Marca,5.441,44,"0,81%","R$ 0,88","R$ 38,52",0,-,"0,00%"
16/06/2026,Remarketing - Carrinho Abandonado,6.230,372,"5,97%","R$ 1,27","R$ 473,59",35,"R$ 13,53","9,41%"
16/06/2026,Lançamento - Coleção Verão,4.604,121,"2,63%","R$ 3,02","R$ 365,66",3,"R$ 121,89","2,48%"
16/06/2026,Promoção - Frete Grátis,6.872,235,"3,42%","R$ 1,00","R$ 235,05",12,"R$ 19,59","5,11%"
17/06/2026,Black Friday - Roupas,13.817,517,"3,74%","R$ 0,89","R$ 459,73",22,"R$ 20,90","4,26%"
17/06/2026,Institucional - Marca,1.724,20,"1,16%","R$ 1,54","R$ 30,81",0,-,"0,00%"
17/06/2026,Remarketing - Carrinho Abandonado,8.362,257,"3,07%","R$ 2,55","R$ 655,76",25,"R$ 26,23","9,73%"
17/06/2026,Lançamento - Coleção Verão,14.530,319,"2,20%","R$ 3,38","R$ 1.078,20",13,"R$ 82,94","4,08%"
17/06/2026,Promoção - Frete Grátis,2.824,60,"2,12%","R$ 0,98","R$ 58,65",3,"R$ 19,55","5,00%"
18/06/2026,Black Friday - Roupas,10.178,297,"2,92%","R$ 1,89","R$ 560,08",18,"R$ 31,12","6,06%"
18/06/2026,Institucional - Marca,13.432,198,"1,47%","R$ 1,47","R$ 291,17",2,"R$ 145,59","1,01%"
18/06/2026,Remarketing - Carrinho Abandonado,9.272,288,"3,11%","R$ 0,81","R$ 232,78",38,"R$ 6,13","13,19%"
18/06/2026,Lançamento - Coleção Verão,3.414,80,"2,34%","R$ 2,38","R$ 190,29",2,"R$ 95,14","2,50%"
18/06/2026,Promoção - Frete Grátis,14.007,429,"3,06%","R$ 2,43","R$ 1.043,42",13,"R$ 80,26","3,03%"
19/06/2026,Black Friday - Roupas,11.900,423,"3,55%","R$ 1,17","R$ 494,89",20,"R$ 24,74","4,73%"
19/06/2026,Institucional - Marca,9.519,106,"1,11%","R$ 3,00","R$ 318,51",0,-,"0,00%"
19/06/2026,Remarketing - Carrinho Abandonado,5.377,278,"5,17%","R$ 1,17","R$ 326,65",39,"R$ 8,38","14,03%"
19/06/2026,Lançamento - Coleção Verão,2.891,50,"1,73%","R$ 1,53","R$ 76,75",1,"R$ 76,75","2,00%"
19/06/2026,Promoção - Frete Grátis,8.343,189,"2,27%","R$ 2,41","R$ 454,95",8,"R$ 56,87","4,23%"
20/06/2026,Black Friday - Roupas,3.288,128,"3,89%","R$ 1,93","R$ 247,42",7,"R$ 35,35","5,47%"
20/06/2026,Institucional - Marca,2.828,17,"0,60%","R$ 1,55","R$ 26,43",0,-,"0,00%"
20/06/2026,Remarketing - Carrinho Abandonado,968,42,"4,34%","R$ 2,75","R$ 115,43",4,"R$ 28,86","9,52%"
20/06/2026,Lançamento - Coleção Verão,12.065,350,"2,90%","R$ 2,40","R$ 840,29",17,"R$ 49,43","4,86%"
20/06/2026,Promoção - Frete Grátis,9.290,202,"2,17%","R$ 3,32","R$ 671,30",6,"R$ 111,88","2,97%"
21/06/2026,Black Friday - Roupas,2.694,65,"2,41%","R$ 3,02","R$ 196,40",3,"R$ 65,47","4,62%"
21/06/2026,Institucional - Marca,10.846,158,"1,46%","R$ 2,69","R$ 425,30",2,"R$ 212,65","1,27%"
21/06/2026,Remarketing - Carrinho Abandonado,7.893,304,"3,85%","R$ 1,88","R$ 572,08",29,"R$ 19,73","9,54%"
21/06/2026,Lançamento - Coleção Verão,3.894,93,"2,39%","R$ 1,10","R$ 101,84",4,"R$ 25,46","4,30%"
21/06/2026,Promoção - Frete Grátis,5.244,114,"2,17%","R$ 2,02","R$ 230,30",6,"R$ 38,38","5,26%"
22/06/2026,Black Friday - Roupas,2.166,63,"2,91%","R$ 1,42","R$ 89,63",3,"R$ 29,88","4,76%"
22/06/2026,Institucional - Marca,14.010,90,"0,64%","R$ 2,83","R$ 255,06",0,-,"0,00%"
22/06/2026,Remarketing - Carrinho Abandonado,4.351,203,"4,67%","R$ 2,64","R$ 536,09",25,"R$ 21,44","12,32%"
22/06/2026,Lançamento - Coleção Verão,7.122,119,"1,67%","R$ 2,28","R$ 270,99",5,"R$ 54,20","4,20%"
22/06/2026,Promoção - Frete Grátis,2.943,93,"3,16%","R$ 1,54","R$ 143,08",2,"R$ 71,54","2,15%"
23/06/2026,Black Friday - Roupas,7.792,210,"2,70%","R$ 2,49","R$ 522,81",14,"R$ 37,34","6,67%"
23/06/2026,Institucional - Marca,14.643,171,"1,17%","R$ 1,39","R$ 237,07",1,"R$ 237,07","0,58%"
23/06/2026,Remarketing - Carrinho Abandonado,12.072,487,"4,03%","R$ 3,21","R$ 1.564,89",54,"R$ 28,98","11,09%"
23/06/2026,Lançamento - Coleção Verão,10.516,288,"2,74%","R$ 1,82","R$ 523,55",9,"R$ 58,17","3,12%"
23/06/2026,Promoção - Frete Grátis,2.623,68,"2,59%","R$ 3,18","R$ 216,35",2,"R$ 108,17","2,94%"
24/06/2026,Black Friday - Roupas,7.561,243,"3,21%","R$ 2,78","R$ 675,88",14,"R$ 48,28","5,76%"
24/06/2026,Institucional - Marca,12.407,153,"1,23%","R$ 2,02","R$ 308,66",1,"R$ 308,66","0,65%"
24/06/2026,Remarketing - Carrinho Abandonado,4.291,136,"3,17%","R$ 2,99","R$ 406,57",18,"R$ 22,59","13,24%"
24/06/2026,Lançamento - Coleção Verão,11.205,203,"1,81%","R$ 1,89","R$ 382,70",7,"R$ 54,67","3,45%"
24/06/2026,Promoção - Frete Grátis,2.133,65,"3,05%","R$ 0,89","R$ 57,84",2,"R$ 28,92","3,08%"
25/06/2026,Black Friday - Roupas,9.166,277,"3,02%","R$ 3,11","R$ 862,73",15,"R$ 57,52","5,42%"
25/06/2026,Institucional - Marca,11.785,133,"1,13%","R$ 2,83","R$ 375,74",0,-,"0,00%"
25/06/2026,Remarketing - Carrinho Abandonado,6.161,189,"3,07%","R$ 1,78","R$ 337,02",23,"R$ 14,65","12,17%"
25/06/2026,Lançamento - Coleção Verão,680,12,"1,76%","R$ 2,71","R$ 32,47",0,-,"0,00%"
25/06/2026,Promoção - Frete Grátis,14.435,497,"3,44%","R$ 2,37","R$ 1.175,74",21,"R$ 55,99","4,23%"
26/06/2026,Black Friday - Roupas,9.965,326,"3,27%","R$ 3,39","R$ 1.105,54",21,"R$ 52,64","6,44%"
26/06/2026,Institucional - Marca,10.235,152,"1,49%","R$ 1,44","R$ 219,41",2,"R$ 109,70","1,32%"
26/06/2026,Remarketing - Carrinho Abandonado,7.109,324,"4,56%","R$ 1,87","R$ 605,98",43,"R$ 14,09","13,27%"
26/06/2026,Lançamento - Coleção Verão,7.490,199,"2,66%","R$ 3,23","R$ 643,22",9,"R$ 71,47","4,52%"
26/06/2026,Promoção - Frete Grátis,10.609,322,"3,04%","R$ 3,34","R$ 1.074,18",15,"R$ 71,61","4,66%"
27/06/2026,Black Friday - Roupas,5.055,101,"2,00%","R$ 2,30","R$ 232,13",5,"R$ 46,43","4,95%"
27/06/2026,Institucional - Marca,14.056,109,"0,78%","R$ 0,86","R$ 93,80",0,-,"0,00%"
27/06/2026,Remarketing - Carrinho Abandonado,7.237,347,"4,79%","R$ 0,81","R$ 279,70",28,"R$ 9,99","8,07%"
27/06/2026,Lançamento - Coleção Verão,3.038,54,"1,78%","R$ 1,83","R$ 98,82",2,"R$ 49,41","3,70%"
27/06/2026,Promoção - Frete Grátis,4.628,155,"3,35%","R$ 2,78","R$ 431,31",7,"R$ 61,62","4,52%"
28/06/2026,Black Friday - Roupas,3.982,148,"3,72%","R$ 1,49","R$ 220,69",10,"R$ 22,07","6,76%"
28/06/2026,Institucional - Marca,12.006,75,"0,62%","R$ 1,23","R$ 92,19",0,-,"0,00%"
28/06/2026,Remarketing - Carrinho Abandonado,13.842,662,"4,78%","R$ 0,90","R$ 598,63",76,"R$ 7,88","11,48%"
28/06/2026,Lançamento - Coleção Verão,4.112,74,"1,80%","R$ 0,95","R$ 70,43",2,"R$ 35,22","2,70%"
28/06/2026,Promoção - Frete Grátis,4.082,82,"2,01%","R$ 3,33","R$ 272,67",3,"R$ 90,89","3,66%"
29/06/2026,Black Friday - Roupas,3.869,123,"3,18%","R$ 1,10","R$ 135,74",5,"R$ 27,15","4,07%"
29/06/2026,Institucional - Marca,912,8,"0,88%","R$ 1,67","R$ 13,39",0,-,"0,00%"
29/06/2026,Remarketing - Carrinho Abandonado,3.936,141,"3,58%","R$ 3,00","R$ 422,95",13,"R$ 32,53","9,22%"
29/06/2026,Lançamento - Coleção Verão,13.749,294,"2,14%","R$ 3,11","R$ 915,33",8,"R$ 114,42","2,72%"
29/06/2026,Promoção - Frete Grátis,10.743,308,"2,87%","R$ 2,89","R$ 890,99",9,"R$ 99,00","2,92%"
30/06/2026,Black Friday - Roupas,13.826,499,"3,61%","R$ 1,34","R$ 668,52",27,"R$ 24,76","5,41%"
30/06/2026,Institucional - Marca,10.610,120,"1,13%","R$ 2,89","R$ 346,47",0,-,"0,00%"
30/06/2026,Remarketing - Carrinho Abandonado,2.593,129,"4,97%","R$ 1,35","R$ 174,28",18,"R$ 9,68","13,95%"
30/06/2026,Lançamento - Coleção Verão,4.136,114,"2,76%","R$ 3,40","R$ 387,30",4,"R$ 96,83","3,51%"
30/06/2026,Promoção - Frete Grátis,14.167,322,"2,27%","R$ 1,95","R$ 628,55",13,"R$ 48,35","4,04%"
01/07/2026,Black Friday - Roupas,1.378,50,"3,63%","R$ 1,72","R$ 86,18",2,"R$ 43,09","4,00%"
01/07/2026,Institucional - Marca,1.622,15,"0,92%","R$ 2,04","R$ 30,54",0,-,"0,00%"
01/07/2026,Remarketing - Carrinho Abandonado,4.575,197,"4,31%","R$ 3,18","R$ 626,55",25,"R$ 25,06","12,69%"
01/07/2026,Lançamento - Coleção Verão,3.584,62,"1,73%","R$ 1,87","R$ 115,99",2,"R$ 57,99","3,23%"
01/07/2026,Promoção - Frete Grátis,11.860,276,"2,33%","R$ 1,56","R$ 430,55",13,"R$ 33,12","4,71%"
02/07/2026,Black Friday - Roupas,8.007,180,"2,25%","R$ 1,87","R$ 337,19",11,"R$ 30,65","6,11%"
02/07/2026,Institucional - Marca,11.514,62,"0,54%","R$ 3,39","R$ 209,87",0,-,"0,00%"
02/07/2026,Remarketing - Carrinho Abandonado,3.733,165,"4,42%","R$ 3,19","R$ 526,25",19,"R$ 27,70","11,52%"
02/07/2026,Lançamento - Coleção Verão,5.512,164,"2,98%","R$ 2,88","R$ 473,04",3,"R$ 157,68","1,83%"
02/07/2026,Promoção - Frete Grátis,10.086,256,"2,54%","R$ 1,11","R$ 285,25",12,"R$ 23,77","4,69%"
03/07/2026,Black Friday - Roupas,14.526,388,"2,67%","R$ 2,42","R$ 940,10",18,"R$ 52,23","4,64%"
03/07/2026,Institucional - Marca,1.924,26,"1,35%","R$ 2,79","R$ 72,53",0,-,"0,00%"
03/07/2026,Remarketing - Carrinho Abandonado,4.586,265,"5,78%","R$ 3,43","R$ 908,43",31,"R$ 29,30","11,70%"
03/07/2026,Lançamento - Coleção Verão,12.146,236,"1,94%","R$ 3,29","R$ 775,54",6,"R$ 129,26","2,54%"
03/07/2026,Promoção - Frete Grátis,4.105,115,"2,80%","R$ 1,81","R$ 208,20",6,"R$ 34,70","5,22%"
04/07/2026,Black Friday - Roupas,4.745,162,"3,41%","R$ 1,91","R$ 309,81",7,"R$ 44,26","4,32%"
04/07/2026,Institucional - Marca,504,5,"0,99%","R$ 1,92","R$ 9,58",0,-,"0,00%"
04/07/2026,Remarketing - Carrinho Abandonado,5.787,264,"4,56%","R$ 1,59","R$ 419,56",36,"R$ 11,65","13,64%"
04/07/2026,Lançamento - Coleção Verão,3.487,58,"1,66%","R$ 3,00","R$ 173,86",1,"R$ 173,86","1,72%"
04/07/2026,Promoção - Frete Grátis,11.643,381,"3,27%","R$ 2,34","R$ 891,46",21,"R$ 42,45","5,51%"
05/07/2026,Black Friday - Roupas,14.843,398,"2,68%","R$ 1,96","R$ 779,72",24,"R$ 32,49","6,03%"
05/07/2026,Institucional - Marca,4.933,71,"1,44%","R$ 2,68","R$ 189,98",1,"R$ 189,98","1,41%"
05/07/2026,Remarketing - Carrinho Abandonado,9.378,305,"3,25%","R$ 1,37","R$ 417,39",37,"R$ 11,28","12,13%"
05/07/2026,Lançamento - Coleção Verão,1.561,37,"2,37%","R$ 3,01","R$ 111,49",1,"R$ 111,49","2,70%"
05/07/2026,Promoção - Frete Grátis,11.688,246,"2,10%","R$ 3,09","R$ 761,15",12,"R$ 63,43","4,88%"
06/07/2026,Black Friday - Roupas,13.169,344,"2,61%","R$ 1,82","R$ 625,13",22,"R$ 28,41","6,40%"
06/07/2026,Institucional - Marca,1.945,10,"0,51%","R$ 3,00","R$ 30,01",0,-,"0,00%"
06/07/2026,Remarketing - Carrinho Abandonado,4.257,239,"5,61%","R$ 2,10","R$ 501,25",33,"R$ 15,19","13,81%"
06/07/2026,Lançamento - Coleção Verão,10.973,203,"1,85%","R$ 1,44","R$ 292,08",7,"R$ 41,73","3,45%"
06/07/2026,Promoção - Frete Grátis,3.347,111,"3,32%","R$ 2,43","R$ 269,33",4,"R$ 67,33","3,60%"
07/07/2026,Black Friday - Roupas,9.638,338,"3,51%","R$ 3,22","R$ 1.088,83",14,"R$ 77,77","4,14%"
07/07/2026,Institucional - Marca,9.660,132,"1,37%","R$ 2,44","R$ 322,55",0,-,"0,00%"
07/07/2026,Remarketing - Carrinho Abandonado,2.500,131,"5,24%","R$ 1,69","R$ 221,17",13,"R$ 17,01","9,92%"
07/07/2026,Lançamento - Coleção Verão,5.739,163,"2,84%","R$ 3,08","R$ 501,41",7,"R$ 71,63","4,29%"
07/07/2026,Promoção - Frete Grátis,14.358,466,"3,25%","R$ 2,91","R$ 1.358,18",27,"R$ 50,30","5,79%"
08/07/2026,Black Friday - Roupas,3.228,64,"1,98%","R$ 2,53","R$ 162,00",3,"R$ 54,00","4,69%"
08/07/2026,Institucional - Marca,11.193,140,"1,25%","R$ 0,98","R$ 137,83",1,"R$ 137,83","0,71%"
08/07/2026,Remarketing - Carrinho Abandonado,12.115,661,"5,46%","R$ 0,87","R$ 573,11",95,"R$ 6,03","14,37%"
08/07/2026,Lançamento - Coleção Verão,8.118,237,"2,92%","R$ 2,36","R$ 560,24",5,"R$ 112,05","2,11%"
08/07/2026,Promoção - Frete Grátis,5.198,169,"3,25%","R$ 0,95","R$ 160,54",5,"R$ 32,11","2,96%"
09/07/2026,Black Friday - Roupas,5.655,149,"2,63%","R$ 2,77","R$ 412,85",9,"R$ 45,87","6,04%"
09/07/2026,Institucional - Marca,1.799,16,"0,89%","R$ 2,77","R$ 44,31",0,-,"0,00%"
09/07/2026,Remarketing - Carrinho Abandonado,13.255,408,"3,08%","R$ 3,01","R$ 1.228,14",44,"R$ 27,91","10,78%"
09/07/2026,Lançamento - Coleção Verão,11.547,186,"1,61%","R$ 1,22","R$ 227,67",6,"R$ 37,95","3,23%"
09/07/2026,Promoção - Frete Grátis,7.815,181,"2,32%","R$ 2,75","R$ 497,09",6,"R$ 82,85","3,31%"
10/07/2026,Black Friday - Roupas,14.241,496,"3,48%","R$ 2,43","R$ 1.205,05",22,"R$ 54,77","4,44%"
10/07/2026,Institucional - Marca,11.499,67,"0,58%","R$ 1,49","R$ 99,70",0,-,"0,00%"
10/07/2026,Remarketing - Carrinho Abandonado,7.348,258,"3,51%","R$ 2,62","R$ 677,17",1,"R$ 677,17","0,39%"
10/07/2026,Lançamento - Coleção Verão,5.371,133,"2,48%","R$ 1,76","R$ 234,08",4,"R$ 58,52","3,01%"
10/07/2026,Promoção - Frete Grátis,11.495,346,"3,01%","R$ 3,28","R$ 1.136,47",19,"R$ 59,81","5,49%"
11/07/2026,Black Friday - Roupas,3.206,122,"3,81%","R$ 1,34","R$ 163,63",7,"R$ 23,38","5,74%"
11/07/2026,Institucional - Marca,3.077,39,"1,27%","R$ 1,78","R$ 69,23",0,-,"0,00%"
11/07/2026,Remarketing - Carrinho Abandonado,3.200,162,"5,06%","R$ 0,93","R$ 149,87",1,"R$ 149,87","0,62%"
11/07/2026,Lançamento - Coleção Verão,4.220,74,"1,75%","R$ 1,42","R$ 104,95",2,"R$ 52,48","2,70%"
11/07/2026,Promoção - Frete Grátis,4.079,102,"2,50%","R$ 1,85","R$ 188,64",5,"R$ 37,73","4,90%"
12/07/2026,Black Friday - Roupas,12.941,486,"3,76%","R$ 2,83","R$ 1.376,16",24,"R$ 57,34","4,94%"
12/07/2026,Institucional - Marca,10.147,114,"1,12%","R$ 2,75","R$ 313,70",1,"R$ 313,70","0,88%"
12/07/2026,Remarketing - Carrinho Abandonado,2.318,127,"5,48%","R$ 2,66","R$ 337,64",0,-,"0,00%"
12/07/2026,Lançamento - Coleção Verão,3.341,89,"2,66%","R$ 3,02","R$ 268,66",4,"R$ 67,17","4,49%"
12/07/2026,Promoção - Frete Grátis,11.580,357,"3,08%","R$ 2,71","R$ 967,96",13,"R$ 74,46","3,64%"
13/07/2026,Black Friday - Roupas,12.202,266,"2,18%","R$ 1,69","R$ 449,87",15,"R$ 29,99","5,64%"
13/07/2026,Institucional - Marca,2.160,30,"1,39%","R$ 1,62","R$ 48,58",0,-,"0,00%"
13/07/2026,Remarketing - Carrinho Abandonado,9.869,458,"4,64%","R$ 2,39","R$ 1.094,12",3,"R$ 364,71","0,66%"
13/07/2026,Lançamento - Coleção Verão,14.917,291,"1,95%","R$ 3,18","R$ 924,55",8,"R$ 115,57","2,75%"
13/07/2026,Promoção - Frete Grátis,10.864,322,"2,96%","R$ 1,07","R$ 345,48",13,"R$ 26,58","4,04%"
